Ad Group,Keyword,Campaign,Criterion Type
unity3d 2019,unity3d 2019 tutorial,SEM_Sofas,Exact
unity3d 2019,tutorial unity3d 2019,SEM_Sofas,Exact
unity3d 2019,unity3d 2019 beginner,SEM_Sofas,Exact
unity3d 2019,beginner unity3d 2019,SEM_Sofas,Exact
unity3d 2019,unity3d 2019 how to ,SEM_Sofas,Exact
unity3d 2019,how to  unity3d 2019,SEM_Sofas,Exact
unity3d 2019,unity3d 2019 create,SEM_Sofas,Exact
unity3d 2019,create unity3d 2019,SEM_Sofas,Exact
hexagonal,hexagonal tutorial,SEM_Sofas,Exact
hexagonal,tutorial hexagonal,SEM_Sofas,Exact
hexagonal,hexagonal beginner,SEM_Sofas,Exact
hexagonal,beginner hexagonal,SEM_Sofas,Exact
hexagonal,hexagonal how to ,SEM_Sofas,Exact
hexagonal,how to  hexagonal,SEM_Sofas,Exact
hexagonal,hexagonal create,SEM_Sofas,Exact
hexagonal,create hexagonal,SEM_Sofas,Exact
UI,UI tutorial,SEM_Sofas,Exact
UI,tutorial UI,SEM_Sofas,Exact
UI,UI beginner,SEM_Sofas,Exact
UI,beginner UI,SEM_Sofas,Exact
UI,UI how to ,SEM_Sofas,Exact
UI,how to  UI,SEM_Sofas,Exact
UI,UI create,SEM_Sofas,Exact
UI,create UI,SEM_Sofas,Exact
sprite mask,sprite mask tutorial,SEM_Sofas,Exact
sprite mask,tutorial sprite mask,SEM_Sofas,Exact
sprite mask,sprite mask beginner,SEM_Sofas,Exact
sprite mask,beginner sprite mask,SEM_Sofas,Exact
sprite mask,sprite mask how to ,SEM_Sofas,Exact
sprite mask,how to  sprite mask,SEM_Sofas,Exact
sprite mask,sprite mask create,SEM_Sofas,Exact
sprite mask,create sprite mask,SEM_Sofas,Exact
GUI,GUI tutorial,SEM_Sofas,Exact
GUI,tutorial GUI,SEM_Sofas,Exact
GUI,GUI beginner,SEM_Sofas,Exact
GUI,beginner GUI,SEM_Sofas,Exact
GUI,GUI how to ,SEM_Sofas,Exact
GUI,how to  GUI,SEM_Sofas,Exact
GUI,GUI create,SEM_Sofas,Exact
GUI,create GUI,SEM_Sofas,Exact
menu,menu tutorial,SEM_Sofas,Exact
menu,tutorial menu,SEM_Sofas,Exact
menu,menu beginner,SEM_Sofas,Exact
menu,beginner menu,SEM_Sofas,Exact
menu,menu how to ,SEM_Sofas,Exact
menu,how to  menu,SEM_Sofas,Exact
menu,menu create,SEM_Sofas,Exact
menu,create menu,SEM_Sofas,Exact
unity3d 2019,unity3d 2019 tutorial,SEM_Sofas,Phrase
unity3d 2019,tutorial unity3d 2019,SEM_Sofas,Phrase
unity3d 2019,unity3d 2019 beginner,SEM_Sofas,Phrase
unity3d 2019,beginner unity3d 2019,SEM_Sofas,Phrase
unity3d 2019,unity3d 2019 how to ,SEM_Sofas,Phrase
unity3d 2019,how to  unity3d 2019,SEM_Sofas,Phrase
unity3d 2019,unity3d 2019 create,SEM_Sofas,Phrase
unity3d 2019,create unity3d 2019,SEM_Sofas,Phrase
hexagonal,hexagonal tutorial,SEM_Sofas,Phrase
hexagonal,tutorial hexagonal,SEM_Sofas,Phrase
hexagonal,hexagonal beginner,SEM_Sofas,Phrase
hexagonal,beginner hexagonal,SEM_Sofas,Phrase
hexagonal,hexagonal how to ,SEM_Sofas,Phrase
hexagonal,how to  hexagonal,SEM_Sofas,Phrase
hexagonal,hexagonal create,SEM_Sofas,Phrase
hexagonal,create hexagonal,SEM_Sofas,Phrase
UI,UI tutorial,SEM_Sofas,Phrase
UI,tutorial UI,SEM_Sofas,Phrase
UI,UI beginner,SEM_Sofas,Phrase
UI,beginner UI,SEM_Sofas,Phrase
UI,UI how to ,SEM_Sofas,Phrase
UI,how to  UI,SEM_Sofas,Phrase
UI,UI create,SEM_Sofas,Phrase
UI,create UI,SEM_Sofas,Phrase
sprite mask,sprite mask tutorial,SEM_Sofas,Phrase
sprite mask,tutorial sprite mask,SEM_Sofas,Phrase
sprite mask,sprite mask beginner,SEM_Sofas,Phrase
sprite mask,beginner sprite mask,SEM_Sofas,Phrase
sprite mask,sprite mask how to ,SEM_Sofas,Phrase
sprite mask,how to  sprite mask,SEM_Sofas,Phrase
sprite mask,sprite mask create,SEM_Sofas,Phrase
sprite mask,create sprite mask,SEM_Sofas,Phrase
GUI,GUI tutorial,SEM_Sofas,Phrase
GUI,tutorial GUI,SEM_Sofas,Phrase
GUI,GUI beginner,SEM_Sofas,Phrase
GUI,beginner GUI,SEM_Sofas,Phrase
GUI,GUI how to ,SEM_Sofas,Phrase
GUI,how to  GUI,SEM_Sofas,Phrase
GUI,GUI create,SEM_Sofas,Phrase
GUI,create GUI,SEM_Sofas,Phrase
menu,menu tutorial,SEM_Sofas,Phrase
menu,tutorial menu,SEM_Sofas,Phrase
menu,menu beginner,SEM_Sofas,Phrase
menu,beginner menu,SEM_Sofas,Phrase
menu,menu how to ,SEM_Sofas,Phrase
menu,how to  menu,SEM_Sofas,Phrase
menu,menu create,SEM_Sofas,Phrase
menu,create menu,SEM_Sofas,Phrase
